Wavelength,Flux,BestFit,SkyFlux
4336.107,71.921,78.110,14.172
4337.107,71.575,78.391,14.020
4338.105,71.804,77.738,13.270
4339.103,68.528,78.832,12.496
4340.103,64.878,77.621,11.635
4341.102,68.223,71.905,11.137
4342.103,70.650,68.262,11.359
4343.101,69.682,72.146,11.983
4344.103,71.134,73.282,12.635
4345.102,66.685,73.157,13.223
4346.102,69.054,73.089,13.572
4347.104,70.402,73.214,14.033
4348.104,70.109,74.490,14.895
4349.107,69.931,76.557,15.619
4350.107,71.768,75.012,15.679
4351.110,69.545,77.420,14.791
4352.111,68.420,79.232,13.067
4353.113,69.417,75.897,12.192
4354.116,72.019,74.357,12.696
4355.118,74.188,78.474,13.269
4356.122,71.654,75.629,13.791
4357.125,68.123,74.263,17.087
4358.129,70.405,75.315,26.229
4359.132,72.474,76.091,38.183
4360.135,70.602,77.722,39.378
4361.140,73.638,77.898,28.146
4362.143,71.748,77.978,20.252
4363.149,76.698,79.546,17.047
4364.153,73.913,80.282,16.183
4365.159,69.159,78.826,15.628
4366.164,72.057,76.876,15.091
4367.168,71.995,72.933,14.853
4368.175,66.061,71.788,14.816
4369.180,68.130,71.992,14.509
4370.187,69.663,72.398,14.312
4371.193,67.583,73.560,14.159
4372.201,72.351,75.132,14.112
4373.207,69.902,72.947,14.280
4374.213,72.985,74.606,13.975
4375.221,68.136,77.971,13.501
4376.228,71.540,77.423,13.440
4377.237,73.186,74.484,14.165
4378.244,71.556,77.171,14.741
4379.254,72.749,79.770,14.730
4380.261,73.028,77.756,14.617
4381.269,71.322,78.118,14.527
4382.279,71.335,79.449,13.946
4383.287,68.918,78.719,12.435
4384.298,72.357,77.688,10.731
4385.307,73.232,73.738,10.117
4386.318,73.101,73.605,11.141
4387.327,69.951,73.868,12.658
4388.336,73.416,74.526,13.423
4389.348,69.674,76.621,13.242
4390.358,69.134,78.372,12.824
4391.370,72.361,79.534,12.859
4392.381,71.339,76.560,13.108
4393.393,70.691,79.403,13.253
4394.404,70.890,80.671,13.241
4395.415,67.784,72.644,13.250
4396.429,69.395,64.725,13.332
4397.440,67.032,67.015,13.592
4398.454,63.347,68.672,13.965
4399.466,66.519,70.472,14.165
4400.480,70.716,73.513,14.074
4401.493,67.610,77.018,14.002
4402.505,68.545,79.800,14.392
4403.520,68.026,80.035,14.741
4404.534,67.690,77.738,14.494
4405.549,70.939,74.776,14.013
4406.563,69.245,71.809,14.086
4407.579,67.572,71.288,14.936
4408.593,73.425,74.585,15.547
4409.607,71.127,70.299,15.476
4410.624,70.395,73.518,16.100
4411.638,71.768,77.970,16.520
4412.656,71.086,76.920,16.580
4413.671,69.688,74.028,16.694
4414.689,71.405,76.927,16.163
4415.704,71.152,74.698,15.093
4416.723,71.408,76.122,15.059
4417.739,71.642,74.048,15.587
4418.755,71.139,71.354,15.450
4419.774,72.666,71.695,15.429
4420.791,70.876,69.984,16.558
4421.810,68.132,67.882,17.181
4422.827,71.188,69.414,16.226
4423.847,67.449,71.055,15.060
4424.865,71.893,73.082,14.979
4425.883,67.816,75.572,15.563
4426.903,70.661,75.370,15.893
4427.922,69.274,74.942,16.122
4428.943,70.903,74.159,15.792
4429.962,73.015,75.618,14.908
4430.983,70.176,74.340,14.258
4432.003,69.001,68.743,14.513
4433.022,71.124,67.082,15.034
4434.044,69.221,70.404,14.965
4435.064,68.145,73.115,14.168
4436.087,69.906,75.113,13.404
4437.108,73.229,76.355,13.468
4438.131,72.542,76.490,14.728
4439.152,67.941,76.331,15.919
4440.173,72.455,76.989,16.180
4441.197,72.104,73.258,15.612
4442.219,67.608,68.331,14.509
4443.243,68.032,67.591,13.765
4444.265,68.949,68.675,13.830
4445.290,66.983,65.227,14.340
4446.313,67.184,70.951,14.880
4447.336,66.938,70.304,15.269
4448.361,65.431,70.599,14.884
4449.384,70.489,74.108,14.483
4450.410,68.631,77.761,14.756
4451.434,67.475,78.866,14.987
4452.461,70.331,72.344,14.327
4453.485,67.703,72.271,14.179
4454.510,69.365,73.149,13.490
4455.537,67.343,72.019,12.487
4456.562,67.349,71.433,12.370
4457.589,67.808,73.348,12.732
4458.615,67.911,73.863,13.003
4459.643,70.860,73.542,13.056
4460.669,71.224,73.768,12.703
4461.695,72.331,71.889,12.612
4462.724,67.142,68.060,12.843
4463.751,67.794,66.729,13.071
4464.780,66.466,63.121,13.910
4465.807,64.344,65.589,14.292
4466.837,67.392,70.878,14.384
4467.864,66.139,71.732,14.224
4468.892,66.211,69.480,14.054
4469.923,65.164,72.971,13.539
4470.951,65.298,73.092,12.781
4471.982,68.372,69.031,12.790
4473.011,68.269,65.414,13.384
4474.042,65.326,66.006,13.953
4475.072,65.446,67.366,14.461
4476.101,65.311,63.753,14.868
4477.133,67.611,68.495,14.744
4478.163,66.050,69.762,14.722
4479.196,68.106,69.959,14.100
4480.226,66.819,71.692,13.423
4481.259,65.986,70.926,12.955
4482.290,65.773,64.396,12.512
4483.322,66.204,68.444,13.026
4484.355,64.188,69.432,14.073
4485.387,64.009,69.010,14.794
4486.421,64.695,67.669,14.963
4487.453,63.332,64.898,14.804
4488.488,65.346,64.217,14.305
4489.521,69.105,68.466,13.616
4490.554,68.472,67.399,13.158
4491.589,68.239,67.789,13.645
4492.622,66.106,70.022,14.552
4493.658,66.073,69.438,14.785
4494.692,67.680,65.922,14.349
4495.729,64.930,66.222,14.076
4496.763,64.472,66.807,14.426
4497.800,66.887,62.214,14.687
4498.834,65.150,59.073,14.711
4499.869,63.088,60.491,14.926
4500.907,63.645,58.303,14.937
4501.943,65.791,58.913,14.652
4502.981,67.388,62.130,14.433
4504.017,63.353,63.470,14.840
4505.055,62.821,61.592,15.107
4506.092,64.530,59.210,14.944
4507.128,64.685,59.041,14.819
4508.168,65.664,56.440,15.009
